transaction_id,store_id,produt_id,customer_id,quantity,sale_amount,transaction_date
TXN100001,ST001,PR101,CUST10001,2,1788,09/08/2026
TXN100002,ST002,PR102,CUST10002,1,111,09/08/2026
TXN100003,ST003,PR103,CUST10003,3,2199,09/08/2026
TXN100004,ST001,PR104,CUST10004,1,1299,09/08/2026
TXN100005,ST005,PR105,CUST10005,2,1599,09/08/2026
TXN100006,ST004,PR106,CUST10006,1,999,09/08/2026
TXN100007,ST003,PR107,CUST10007,4,2999,09/08/2026
TXN100008,ST001,PR108,CUST10008,2,1899,09/08/2026
TXN100009,ST005,PR109,CUST10009,1,699,09/08/2026
TXN100010,ST010,PR110,CUST10010,2,2499,09/08/2026
